20131101 033200;1.355950;1.355960;1.355850;1.355960;0
20131101 033300;1.355950;1.355960;1.355900;1.355900;0
20131101 033400;1.355910;1.356060;1.355910;1.355960;0
20131101 033500;1.355980;1.356080;1.355960;1.356080;0
20131101 033600;1.356100;1.356270;1.356100;1.356230;0
20131101 033700;1.356240;1.356240;1.356050;1.356170;0
20131101 033800;1.356160;1.356470;1.356110;1.356470;0
20131101 033900;1.356430;1.356580;1.356420;1.356480;0
20131101 034000;1.356470;1.356480;1.356270;1.356280;0
20131101 034100;1.356290;1.356320;1.356220;1.356280;0
20131101 034200;1.356270;1.356280;1.356180;1.356190;0
20131101 034300;1.356180;1.356260;1.356160;1.356240;0
20131101 034400;1.356210;1.356340;1.356210;1.356340;0
20131101 034500;1.356350;1.356360;1.356240;1.356240;0
20131101 034600;1.356200;1.356200;1.355970;1.355980;0
20131101 034700;1.355990;1.356050;1.355970;1.355980;0
20131101 034800;1.356020;1.356150;1.355960;1.356050;0
20131101 034900;1.356060;1.356170;1.356060;1.356080;0
20131101 035000;1.356090;1.356090;1.355960;1.356040;0
20131101 035100;1.356070;1.356160;1.356030;1.356040;0
20131101 035200;1.356030;1.356140;1.355960;1.355960;0
20131101 035300;1.355970;1.355970;1.355950;1.355950;0
20131101 035400;1.355930;1.355930;1.355820;1.355880;0
20131101 035500;1.355910;1.355930;1.355860;1.355860;0
20131101 035600;1.355790;1.355840;1.355490;1.355490;0
20131101 035700;1.355520;1.355660;1.355480;1.355490;0
20131101 035800;1.355480;1.355520;1.355220;1.355250;0
20131101 035900;1.355280;1.355320;1.355150;1.355160;0
20131101 040000;1.355140;1.355150;1.354910;1.354920;0
20131101 040100;1.354910;1.354910;1.354220;1.354230;0
20131101 040200;1.354190;1.354320;1.354070;1.354260;0
20131101 040300;1.354250;1.354350;1.353680;1.353910;0
20131101 040400;1.353890;1.353900;1.353550;1.353640;0
20131101 040500;1.353660;1.353660;1.353440;1.353480;0
20131101 040600;1.353520;1.353800;1.353520;1.353760;0
20131101 040700;1.353720;1.353720;1.353460;1.353460;0
20131101 040800;1.353470;1.353580;1.353270;1.353540;0
20131101 040900;1.353530;1.353570;1.353380;1.353560;0
20131101 041000;1.353550;1.353550;1.353390;1.353430;0
20131101 041100;1.353440;1.353540;1.353260;1.353270;0
20131101 041200;1.353230;1.353230;1.352980;1.353170;0
20131101 041300;1.353160;1.353320;1.353130;1.353160;0
20131101 041400;1.353120;1.353140;1.352730;1.352730;0
20131101 041500;1.352710;1.352800;1.352460;1.352460;0
20131101 041600;1.352470;1.352520;1.351900;1.352170;0
20131101 041700;1.352160;1.352210;1.351670;1.351950;0
20131101 041800;1.351930;1.352370;1.351920;1.352300;0
20131101 041900;1.352290;1.352310;1.351830;1.351860;0
20131101 042000;1.351840;1.351890;1.351770;1.351870;0
20131101 042100;1.351860;1.352160;1.351680;1.352150;0
20131101 042200;1.352160;1.352160;1.351860;1.352000;0
20131101 042300;1.352020;1.352100;1.351910;1.352010;0
20131101 042400;1.352000;1.352180;1.351950;1.352080;0
20131101 042500;1.352070;1.352270;1.351990;1.352270;0
20131101 042600;1.352280;1.352380;1.352140;1.352180;0
20131101 042700;1.352190;1.352250;1.351880;1.351990;0
20131101 042800;1.351980;1.352080;1.351860;1.352070;0
20131101 042900;1.352110;1.352390;1.352090;1.352350;0
20131101 043000;1.352330;1.352370;1.352270;1.352340;0
20131101 043100;1.352320;1.352680;1.352240;1.352650;0
20131101 043200;1.352630;1.352740;1.352560;1.352730;0
20131101 043300;1.352720;1.352740;1.352610;1.352620;0
20131101 043400;1.352640;1.352740;1.352610;1.352740;0
20131101 043500;1.352730;1.352750;1.352610;1.352690;0
20131101 043600;1.352700;1.352880;1.352510;1.352550;0
20131101 043700;1.352560;1.352650;1.352550;1.352590;0
20131101 043800;1.352640;1.352760;1.352520;1.352600;0
20131101 043900;1.352610;1.352900;1.352580;1.352870;0
20131101 044000;1.352880;1.353270;1.352880;1.353260;0
20131101 044100;1.353250;1.353400;1.353170;1.353270;0
20131101 044200;1.353260;1.353260;1.352820;1.352820;0
20131101 044300;1.352830;1.353040;1.352830;1.353040;0
20131101 044400;1.353030;1.353160;1.352860;1.353150;0
20131101 044500;1.353060;1.353060;1.352820;1.352860;0
20131101 044600;1.352850;1.352850;1.352500;1.352760;0
20131101 044700;1.352730;1.353040;1.352720;1.352950;0
